epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,21054.8,1.31611,1.11195,1.38354,0.66176,0.52046,0.54667,0.31286,1.68373,1.50802,1.70847,0.000555833,0.000555833,0.000555833
16,22462.7,1.31378,1.11364,1.38732,0.70117,0.52662,0.57208,0.32994,1.62835,1.46261,1.69082,0.000540607,0.000540607,0.000540607
17,23868.9,1.30574,1.09418,1.37863,0.70423,0.53025,0.56934,0.32881,1.63143,1.45609,1.66346,0.000525381,0.000525381,0.000525381
18,25277.4,1.3084,1.08854,1.37827,0.67465,0.53109,0.57134,0.32801,1.63809,1.46432,1.67261,0.000510155,0.000510155,0.000510155
19,26683.8,1.28559,1.07081,1.365,0.68169,0.51192,0.56002,0.33015,1.62367,1.44441,1.67141,0.000494928,0.000494928,0.000494928
20,28090.4,1.28061,1.0559,1.36158,0.71058,0.52454,0.57006,0.32895,1.63282,1.42703,1.67308,0.000479702,0.000479702,0.000479702
21,29492.7,1.28187,1.05309,1.35909,0.71052,0.53618,0.57603,0.3345,1.63883,1.42623,1.68252,0.000464476,0.000464476,0.000464476
22,30898.6,1.27099,1.0394,1.35526,0.7275,0.5277,0.58641,0.34106,1.6311,1.40513,1.6584,0.00044925,0.00044925,0.00044925
23,32302.1,1.26941,1.04067,1.35617,0.72121,0.51875,0.57518,0.3375,1.59849,1.40761,1.642,0.000434024,0.000434024,0.000434024
24,33704.8,1.25197,1.02061,1.34333,0.66777,0.55476,0.58326,0.34148,1.61085,1.39403,1.65151,0.000418797,0.000418797,0.000418797
25,35110.6,1.25012,1.0326,1.34478,0.71986,0.52615,0.58012,0.33899,1.60325,1.39399,1.64739,0.000403571,0.000403571,0.000403571
26,36511.3,1.23485,1.01286,1.33545,0.70706,0.53926,0.5858,0.34393,1.59707,1.41274,1.65396,0.000388345,0.000388345,0.000388345
27,37915.4,1.23685,1.00496,1.33561,0.65214,0.56067,0.5861,0.34512,1.59797,1.38997,1.64397,0.000373119,0.000373119,0.000373119
28,39319.1,1.22107,0.97551,1.31791,0.70023,0.5561,0.58987,0.3474,1.6008,1.38403,1.65627,0.000357893,0.000357893,0.000357893
29,40722.1,1.22266,0.97871,1.32353,0.68974,0.55347,0.5864,0.3433,1.61478,1.39095,1.66951,0.000342666,0.000342666,0.000342666
30,42119,1.20765,0.95786,1.3063,0.67025,0.55235,0.58386,0.34502,1.60127,1.38743,1.66087,0.00032744,0.00032744,0.00032744
31,43519.6,1.20449,0.95632,1.3102,0.67103,0.57066,0.59059,0.34615,1.59991,1.38173,1.65398,0.000312214,0.000312214,0.000312214
32,44921.8,1.20384,0.9494,1.30876,0.67413,0.5523,0.58207,0.34371,1.59922,1.38065,1.65085,0.000296988,0.000296988,0.000296988
33,46324.3,1.1874,0.93862,1.29746,0.66422,0.57096,0.58689,0.34657,1.58954,1.37944,1.64093,0.000281762,0.000281762,0.000281762
34,47725.7,1.19491,0.94368,1.3036,0.70646,0.54396,0.5855,0.3456,1.60376,1.37889,1.65579,0.000266535,0.000266535,0.000266535
35,49127.5,1.1813,0.93535,1.29561,0.6825,0.55958,0.58895,0.3474,1.5945,1.36391,1.65612,0.000251309,0.000251309,0.000251309
36,50528.8,1.16624,0.90955,1.28994,0.69031,0.55587,0.5912,0.34943,1.58774,1.36821,1.65369,0.000236083,0.000236083,0.000236083
37,51930,1.1596,0.90697,1.27849,0.7051,0.54922,0.58234,0.34604,1.59324,1.38334,1.65505,0.000220857,0.000220857,0.000220857
38,53330.7,1.16084,0.90253,1.2763,0.70348,0.55761,0.58765,0.3502,1.59356,1.37845,1.65765,0.000205631,0.000205631,0.000205631
39,54731,1.15239,0.88912,1.26987,0.67348,0.57216,0.58577,0.3483,1.58022,1.3882,1.65118,0.000190404,0.000190404,0.000190404
40,56138,1.14322,0.89416,1.27215,0.70503,0.55052,0.59004,0.35429,1.58041,1.36651,1.65133,0.000175178,0.000175178,0.000175178
41,57513.9,1.1179,0.77883,1.2909,0.69648,0.55731,0.58519,0.34818,1.58571,1.36105,1.65621,0.000159952,0.000159952,0.000159952
42,58894.8,1.09707,0.75243,1.27576,0.69499,0.55694,0.59062,0.35166,1.58839,1.35689,1.65261,0.000144726,0.000144726,0.000144726
43,60268.6,1.08582,0.74524,1.27029,0.68514,0.56551,0.59124,0.35231,1.58494,1.37011,1.65156,0.0001295,0.0001295,0.0001295
44,61648.2,1.07568,0.73003,1.26098,0.68463,0.56034,0.59365,0.3536,1.57851,1.37548,1.6575,0.000114273,0.000114273,0.000114273
45,63027.5,1.06129,0.72067,1.25297,0.68768,0.56587,0.59288,0.35132,1.57524,1.36899,1.65901,9.90472e-05,9.90472e-05,9.90472e-05
46,64403.6,1.0575,0.71617,1.24969,0.68066,0.56676,0.59063,0.35596,1.57128,1.37358,1.66197,8.3821e-05,8.3821e-05,8.3821e-05
47,65780.6,1.04578,0.70554,1.24309,0.67821,0.56831,0.58806,0.35444,1.57976,1.3796,1.6685,6.85948e-05,6.85948e-05,6.85948e-05
48,67161.4,1.04238,0.69706,1.23825,0.71762,0.54989,0.58972,0.35509,1.57762,1.37899,1.66363,5.33686e-05,5.33686e-05,5.33686e-05
49,68545.5,1.03573,0.68721,1.23118,0.71444,0.54941,0.59154,0.35532,1.57549,1.38533,1.66333,3.81424e-05,3.81424e-05,3.81424e-05
50,69929.4,1.03451,0.69522,1.23101,0.71183,0.55273,0.59152,0.35601,1.57202,1.37327,1.66386,2.29162e-05,2.29162e-05,2.29162e-05
