epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1445.63,1.25742,1.04901,1.35115,0.71689,0.52854,0.57268,0.32775,1.64652,1.4704,1.68436,0.000255802,0.000255802,0.000255802
2,2857.78,1.32996,1.1287,1.39328,0.70024,0.50866,0.55423,0.30993,1.68083,1.53941,1.72352,0.000501995,0.000501995,0.000501995
3,4262.02,1.38103,1.22192,1.4299,0.69673,0.48985,0.53908,0.30419,1.67571,1.53904,1.72065,0.000738037,0.000738037,0.000738037
4,5660.06,1.4046,1.26302,1.45306,0.68447,0.5022,0.54442,0.29439,1.75586,1.62084,1.75989,0.000723321,0.000723321,0.000723321
5,7051.05,1.40562,1.25825,1.45228,0.6709,0.50507,0.53694,0.3019,1.68544,1.5392,1.7181,0.000708095,0.000708095,0.000708095
6,8440.33,1.40404,1.25283,1.45381,0.68172,0.49137,0.53658,0.30184,1.69286,1.58285,1.72951,0.000692869,0.000692869,0.000692869
7,9833.49,1.39092,1.22249,1.43789,0.64843,0.51615,0.54285,0.30986,1.66339,1.55786,1.70093,0.000677643,0.000677643,0.000677643
8,11225.9,1.38609,1.21711,1.43899,0.67324,0.49847,0.54039,0.30974,1.6944,1.54364,1.71613,0.000662417,0.000662417,0.000662417
9,12623.5,1.37806,1.20736,1.43197,0.64926,0.52796,0.55219,0.31988,1.65158,1.53806,1.69367,0.00064719,0.00064719,0.00064719
10,14026,1.36916,1.19153,1.42477,0.68346,0.51109,0.55899,0.32229,1.63981,1.49336,1.66579,0.000631964,0.000631964,0.000631964
11,15430.6,1.36512,1.18207,1.4247,0.67997,0.51363,0.55297,0.31294,1.67462,1.53482,1.69563,0.000616738,0.000616738,0.000616738
12,16835.8,1.34725,1.16008,1.41078,0.68936,0.52347,0.56828,0.32853,1.63545,1.49176,1.67396,0.000601512,0.000601512,0.000601512
13,18241.2,1.33357,1.15165,1.40093,0.72331,0.50658,0.56306,0.32213,1.64507,1.50109,1.6844,0.000586286,0.000586286,0.000586286
14,19647.4,1.34059,1.13691,1.40332,0.70521,0.52254,0.56617,0.32525,1.6346,1.46301,1.67749,0.000571059,0.000571059,0.000571059
